Name,Rating,Date,Title,Review,Product_url,Label
ThankGod,1,24/05/2024,poorly,Very poor leather material,https://www.jumia.com.ng/fashion-mens-short-leather-wallet-card-holder-money-organizer-black-268388862.html,
Kazeem,3,20/05/2024,nice,The leather is not of good quality,https://www.jumia.com.ng/fashion-mens-short-leather-wallet-card-holder-money-organizer-black-268388862.html,
Abiola,4,31/07/2024,comfort men's slippers,It's okay just know your size,https://www.jumia.com.ng/fashion-cave-shoes-slippers-slippers-comfort-mens-cool-slippers-255307850.html,
Yoma,5,22/07/2024,Comfy,It feels very comfortable,https://www.jumia.com.ng/fashion-cave-shoes-slippers-slippers-comfort-mens-cool-slippers-255307850.html,
Zinos Dillion,5,22/07/2024,Nice,Too small though but good,https://www.jumia.com.ng/fashion-cave-shoes-slippers-slippers-comfort-mens-cool-slippers-255307850.html,
Josephine,4,31/07/2024,good,"It's nice,my husband likes it",https://www.jumia.com.ng/fashion-mens-black-leather-pam-black-palm-230371162.html,
Salih,5,24/07/2024,I  like it,Exactly what I expected ????,https://www.jumia.com.ng/fashion-mens-black-leather-pam-black-palm-230371162.html,
Temidayo,5,22/07/2024,good,Good,https://www.jumia.com.ng/fashion-mens-black-leather-pam-black-palm-230371162.html,
Ogunjobi,4,18/07/2024,the quality is not good enough,Us about the quality,https://www.jumia.com.ng/fashion-2024-mens-fashion-casual-sports-long-sleeve-suit-white-140210397.html,
Abdul-lateef,5,01/07/2024,Good product,It's nice,https://www.jumia.com.ng/fashion-2024-mens-fashion-casual-sports-long-sleeve-suit-white-140210397.html,
Yahya,1,19/06/2024,nooo,No good bad material no need,https://www.jumia.com.ng/fashion-2024-mens-fashion-casual-sports-long-sleeve-suit-white-140210397.html,
Solomon,4,19/07/2024,It's okay,Quality,https://www.jumia.com.ng/adidas-non-cushioned-ankle-socks-3-pairs-unisex-195061044.html,
Williams,4,04/07/2024,Good socks,Okay as is.,https://www.jumia.com.ng/adidas-non-cushioned-ankle-socks-3-pairs-unisex-195061044.html,
Adewale Agarawu,5,27/06/2024,Original,Fully recommend,https://www.jumia.com.ng/adidas-non-cushioned-ankle-socks-3-pairs-unisex-195061044.html,
Jimoh Moyosore,4,31/07/2024,I love the material,Nice,https://www.jumia.com.ng/generic-ladies-canvas-tote-bag-cotton-shopping-bags-269643822.html,
Bewaji,5,31/07/2024,Good product,Exactly what I ordered not too big,https://www.jumia.com.ng/generic-ladies-canvas-tote-bag-cotton-shopping-bags-269643822.html,
Maryam Muhammad Yusuf,5,29/07/2024,Beautiful,It giving classy????,https://www.jumia.com.ng/generic-ladies-canvas-tote-bag-cotton-shopping-bags-269643822.html,
Gracy lawrence,4,07/08/2024,Beautiful,"Pant came exactly as seen in the picture but alittle bit tight  i will order a bigger size next time , i love the texture",https://www.jumia.com.ng/vejaro-p02-female-transparent-cotton-lace-panties-mixed-colors-6-in-1-79585623.html,
Ogbor,5,06/08/2024,female transparence cotton lace.,What I love most is package and the product is classic. My woman love it so much,https://www.jumia.com.ng/vejaro-p02-female-transparent-cotton-lace-panties-mixed-colors-6-in-1-79585623.html,
Tee,5,05/08/2024,Nice product,The quality is nice.,https://www.jumia.com.ng/vejaro-p02-female-transparent-cotton-lace-panties-mixed-colors-6-in-1-79585623.html,
Kehinde,3,09/08/2024,good,Stuff quality though,https://www.jumia.com.ng/fashion-2-in-1-t-shirts-men-tops-tees-polos-men-wear-men-clothing-273836583.html,
Chamberlain,4,05/08/2024,Nice product,Quality is okay for the price,https://www.jumia.com.ng/fashion-2-in-1-t-shirts-men-tops-tees-polos-men-wear-men-clothing-273836583.html,
Lupata Monday,5,25/07/2024,Very nice wear,It looks good,https://www.jumia.com.ng/fashion-2-in-1-t-shirts-men-tops-tees-polos-men-wear-men-clothing-273836583.html,
Victor,5,08/08/2024,whtlat i ordered is what i got,i like it,https://www.jumia.com.ng/fashion-ice-sleeves-outdoor-arm-cover-sleeves-for-men-women-112892705.html,
Michael,5,17/05/2024,Qaulity,I like the material is quite elastic but am not sure of it durability... It is good enough for the price,https://www.jumia.com.ng/fashion-ice-sleeves-outdoor-arm-cover-sleeves-for-men-women-112892705.html,
Petrov,5,15/02/2024,Like it,Cool sleeves,https://www.jumia.com.ng/fashion-ice-sleeves-outdoor-arm-cover-sleeves-for-men-women-112892705.html,
Samuel Quality,5,07/08/2024,Satisfying Quality,Authentic quality... liked the materials and it's built,https://www.jumia.com.ng/fashion-mens-sport-pants-joggers-pants-278949413.html,
GRACE,5,05/08/2024,Looks good,I like it,https://www.jumia.com.ng/fashion-mens-sport-pants-joggers-pants-278949413.html,
Marvel,4,02/07/2024,its nice,I love it. It serves my expectations,https://www.jumia.com.ng/fashion-mens-sport-pants-joggers-pants-278949413.html,
ugwualor,5,06/08/2024,Nice,"It's exactly what I ordered 
I love it",https://www.jumia.com.ng/fashion-4-pcs-women-bags-handbags-purse-ladies-bags-shoulder-bags-59654522.html,
Olayinka,5,05/08/2024,bag,Beautiful bag worth the price,https://www.jumia.com.ng/fashion-4-pcs-women-bags-handbags-purse-ladies-bags-shoulder-bags-59654522.html,
Amanda,4,01/08/2024,I like it,Though the material is light,https://www.jumia.com.ng/fashion-4-pcs-women-bags-handbags-purse-ladies-bags-shoulder-bags-59654522.html,
Hassan,4,02/07/2024,I like it,It's good,https://www.jumia.com.ng/fashion-large-dial-sports-watch-silicone-strap-quartz-watch-137534767.html,
Oyebanjo,1,13/06/2024,I don't like it,"The features stated for the watch does not actually exist. Eg. Light, Stopwatch...",https://www.jumia.com.ng/fashion-large-dial-sports-watch-silicone-strap-quartz-watch-137534767.html,
Ibrahim,3,22/01/2024,Product smaller than how it looks on website,This is for kids,https://www.jumia.com.ng/fashion-large-dial-sports-watch-silicone-strap-quartz-watch-137534767.html,
Adepoju Silver,3,22/07/2024,Fear,I think it is leather but am surprised the is not but is okay I like it,https://www.jumia.com.ng/fashion-bags-men-backpacks-school-bags-laptop-bags-travelling-bags-satchels-273861861.html,
Jacob,5,16/07/2024,Good one,Okay for me. Just for mini sporting,https://www.jumia.com.ng/fashion-bags-men-backpacks-school-bags-laptop-bags-travelling-bags-satchels-273861861.html,
David,5,15/07/2024,I love it,It's a lovely products,https://www.jumia.com.ng/fashion-bags-men-backpacks-school-bags-laptop-bags-travelling-bags-satchels-273861861.html,
Akinsina,3,06/08/2024,good,The quality is low,https://www.jumia.com.ng/fashion-mens-elastic-cargo-pants-shorts-nicker-joggers-beach-wear-navyblue-34548533.html,
Joshua,4,02/07/2024,I Love it,I love it 10 times,https://www.jumia.com.ng/fashion-mens-elastic-cargo-pants-shorts-nicker-joggers-beach-wear-navyblue-34548533.html,
Ikuesan,4,23/04/2024,I like it very much,Precise,https://www.jumia.com.ng/fashion-mens-elastic-cargo-pants-shorts-nicker-joggers-beach-wear-navyblue-34548533.html,
Tolu,5,07/08/2024,Very Nice,This is a very nice and good quality t-shirt.,https://www.jumia.com.ng/fashion-mens-office-polos-shirts-casual-joggers-tshirt-top-navyblue-66785059.html,
Godwin,3,18/07/2024,better,"It good,, at least money come back",https://www.jumia.com.ng/fashion-mens-office-polos-shirts-casual-joggers-tshirt-top-navyblue-66785059.html,
Pius,5,28/06/2024,perfect,Nice product,https://www.jumia.com.ng/fashion-mens-office-polos-shirts-casual-joggers-tshirt-top-navyblue-66785059.html,
Anagaraku,3,28/06/2024,better,"The color, size and style is unique but very light",https://www.jumia.com.ng/fashion-women-bags-ladies-bags-handbags-purse-shoulder-bags-158159092.html,
Zubairu,3,19/06/2024,could be better,Too soft ??,https://www.jumia.com.ng/fashion-women-bags-ladies-bags-handbags-purse-shoulder-bags-158159092.html,
Florence Ifeoma,2,07/06/2024,Poor quality,Very poor quality,https://www.jumia.com.ng/fashion-women-bags-ladies-bags-handbags-purse-shoulder-bags-158159092.html,
Richard,4,03/05/2024,It's fine.,Not chunky like the picture but it's fine.,https://www.jumia.com.ng/fashion-mens-cuban-silver-hand-chain-bracelet-stainless-steel-115832614.html,
Damilola Amosu,5,18/04/2024,Cool,It’s a actually really nice,https://www.jumia.com.ng/fashion-mens-cuban-silver-hand-chain-bracelet-stainless-steel-115832614.html,
Mr Chris,5,07/03/2024,Pure silver,"Ever since i got it the wrist silver chain, i haven't taking it off for once. It's very strong and doesn't itch and i also bath with it. So i recommend it",https://www.jumia.com.ng/fashion-mens-cuban-silver-hand-chain-bracelet-stainless-steel-115832614.html,
OLABODE,5,26/07/2024,Fashionable!,The buckle is exquisite,https://www.jumia.com.ng/fashion-mens-fashion-formalcasual-belt-brown-236338026.html,
Ibrahim,5,25/07/2024,Nice,Soft and durable,https://www.jumia.com.ng/fashion-mens-fashion-formalcasual-belt-brown-236338026.html,
Oluwatoyin,5,25/06/2024,Fashion.Belt,Very good and quality,https://www.jumia.com.ng/fashion-mens-fashion-formalcasual-belt-brown-236338026.html,
Bandaki,3,23/07/2024,ITS OKAY,NEED TO IMPROVE IN THE QUALITY OF PRODUCTS,https://www.jumia.com.ng/fashion-mens-and-womens-baseball-caps-caps-for-men-hats-for-men-3pcs-272276977.html,
Famous Osado,4,22/07/2024,Engr,Very beautiful but not very high quality,https://www.jumia.com.ng/fashion-mens-and-womens-baseball-caps-caps-for-men-hats-for-men-3pcs-272276977.html,
Iwara,1,08/07/2024,Very Poor Quality… Nothing like the Picture,"Looks like something sewn in a hurry. The strap adjustment is just so bare, doesn’t even hold on one… Has no fittings at all… All 3 sits really awkward on the head",https://www.jumia.com.ng/fashion-mens-and-womens-baseball-caps-caps-for-men-hats-for-men-3pcs-272276977.html,
Amos Ologeh,5,05/08/2024,Quality,Well fitted and good material,https://www.jumia.com.ng/fashion-mens-trendy-zipper-turtleneck-long-sleeve-varsity-jackets-sport-coats-white-77394838.html,
CLEMENT,4,31/07/2024,I like it so much,Great soft fibre,https://www.jumia.com.ng/fashion-mens-trendy-zipper-turtleneck-long-sleeve-varsity-jackets-sport-coats-white-77394838.html,
Aliu,5,22/07/2024,quality of the materials,It looks nice,https://www.jumia.com.ng/fashion-mens-trendy-zipper-turtleneck-long-sleeve-varsity-jackets-sport-coats-white-77394838.html,
Josephine Ethel,5,04/08/2024,Perfect,Just as described,https://www.jumia.com.ng/fashion-titanium-steel-simple-smiling-face-pendant-necklace-collar-chain-197120604.html,
Daniel,5,21/06/2024,good,Exactly what I ordered,https://www.jumia.com.ng/fashion-titanium-steel-simple-smiling-face-pendant-necklace-collar-chain-197120604.html,
Alexa Abraham,2,19/02/2024,???? fine,It fine but it fades I’m buying it for d second time now coz I like it,https://www.jumia.com.ng/fashion-titanium-steel-simple-smiling-face-pendant-necklace-collar-chain-197120604.html,
Herald Akihomi,5,29/05/2024,best,Nice quality and beautiful... No regrets,https://www.jumia.com.ng/fashion-vintage-men-shades-sunglasses-designer-sun-glasses-uv400-protection-brown-144287108.html,
IFECHUKWU,5,17/05/2024,fantastic,It's very cool,https://www.jumia.com.ng/fashion-vintage-men-shades-sunglasses-designer-sun-glasses-uv400-protection-brown-144287108.html,
OSARENKHOE,3,29/04/2024,I like it,It's okay,https://www.jumia.com.ng/fashion-vintage-men-shades-sunglasses-designer-sun-glasses-uv400-protection-brown-144287108.html,
Maureen,4,23/07/2024,Okay,Enjoying it and its sexy,https://www.jumia.com.ng/fashion-women-sexy-hollow-out-g-string-thongs-solid-seamless-g-string-briefs-210690626.html,
Stephanie,4,21/03/2024,Like it,Like it,https://www.jumia.com.ng/fashion-women-sexy-hollow-out-g-string-thongs-solid-seamless-g-string-briefs-210690626.html,
Abisola,5,06/03/2024,i love it,Sexy and lovely. My husband love it o me. Right choice of pant????????,https://www.jumia.com.ng/fashion-women-sexy-hollow-out-g-string-thongs-solid-seamless-g-string-briefs-210690626.html,
Abasi-iyaka,5,09/08/2024,Its a good quality,Great quality,https://www.jumia.com.ng/fashion-3-pcs-women-bags-handbags-ladies-bags-purse-hobo-bags-59654525.html,
Dotaofgrace,3,07/08/2024,I like it,"I love the texture of the bag, but it does not have zip in the big bag",https://www.jumia.com.ng/fashion-3-pcs-women-bags-handbags-ladies-bags-purse-hobo-bags-59654525.html,
Esther,4,06/08/2024,Hand bag,The bag is wonderful,https://www.jumia.com.ng/fashion-3-pcs-women-bags-handbags-ladies-bags-purse-hobo-bags-59654525.html,
Vicky,4,09/08/2024,its a good product,"though it came a little tight, but its a good product generally",https://www.jumia.com.ng/fashion-monospec-sneakers-white-13559200.html,
Samuel,1,08/08/2024,disatisfying,Not what I expected.,https://www.jumia.com.ng/fashion-monospec-sneakers-white-13559200.html,
Saali Ali,3,06/08/2024,Very nice,I think it’s okay,https://www.jumia.com.ng/fashion-monospec-sneakers-white-13559200.html,
Omoha obinna Eze,3,06/08/2024,Good product!,"I love the product though the quality doesn’t meet my expectation, but it’s cool.",https://www.jumia.com.ng/fashion-constantine-boot-brown-26068420.html,
joachim,5,29/07/2024,nice,Lovely,https://www.jumia.com.ng/fashion-constantine-boot-brown-26068420.html,
johncakpo64@gmail.com,4,25/07/2024,is nice,Good boot,https://www.jumia.com.ng/fashion-constantine-boot-brown-26068420.html,
Kazeem,5,08/08/2024,it was okay,The product was the same as it was in the picture,https://www.jumia.com.ng/ashion-2024-mens-casual-shoes-big-size-39-47-225382092.html,
Joseph,5,07/08/2024,good Product,"High quality product.. 
It worth the money spent",https://www.jumia.com.ng/ashion-2024-mens-casual-shoes-big-size-39-47-225382092.html,
Abosede,5,07/08/2024,Exactly what I ordered. Nice product,"But it runs a small size
Good product
But it runs a small size",https://www.jumia.com.ng/ashion-2024-mens-casual-shoes-big-size-39-47-225382092.html,
Capt. Kenny,4,05/08/2024,Superb,Very good and fit in.,https://www.jumia.com.ng/adidas-galaxy-6-shoes-men-190172845.html,
DAVID,5,05/08/2024,Lovely Sneakers,"These are original Adidas sneakers, comfortable and true to size. Look very nice also",https://www.jumia.com.ng/adidas-galaxy-6-shoes-men-190172845.html,
Anonymous,5,29/07/2024,Five stars,Perfect!,https://www.jumia.com.ng/adidas-galaxy-6-shoes-men-190172845.html,
Hope,4,08/07/2024,Solid shoe,Looks good,https://www.jumia.com.ng/adidas-streetcheck-cloudfoam-court-low-shoes-men-272135246.html,
Uzor,5,05/07/2024,ITS PERFECT 100%,WORTH BUYING AND LOOKS VERY COOL WITH GOOD QUALITY,https://www.jumia.com.ng/adidas-streetcheck-cloudfoam-court-low-shoes-men-272135246.html,
henry,5,25/03/2024,so good!,Just as seen....best and worth the price????,https://www.jumia.com.ng/adidas-streetcheck-cloudfoam-court-low-shoes-men-272135246.html,
Victor,5,08/07/2024,12 pairs of black socks,I recommend the set of socks.,https://www.jumia.com.ng/fashion-12-pairs-a-dozen-unisex-ankle-socks-black-30756264.html,
Tolu,5,05/07/2024,nice,Very nice,https://www.jumia.com.ng/fashion-12-pairs-a-dozen-unisex-ankle-socks-black-30756264.html,
Gbemiga,4,30/04/2024,I like them,Very comfortable,https://www.jumia.com.ng/fashion-12-pairs-a-dozen-unisex-ankle-socks-black-30756264.html,
Jane,5,22/07/2024,quality is top notch,It's worth every penny ❤️,https://www.jumia.com.ng/fashion-n013-ladies-luxurious-elegant-love-button-necklace-gold-like-118567009.html,
ajomal,4,22/07/2024,love it,"The pendant show is ok , though I taught it bold but I it this way",https://www.jumia.com.ng/fashion-n013-ladies-luxurious-elegant-love-button-necklace-gold-like-118567009.html,
Fawaz,5,19/07/2024,Nice,It looks good and she loves it,https://www.jumia.com.ng/fashion-n013-ladies-luxurious-elegant-love-button-necklace-gold-like-118567009.html,
Odufunke,4,09/08/2024,I like it,Rocking it,https://www.jumia.com.ng/adidas-adilette-aqua-slides-men-86787370.html,
Prince,5,22/07/2024,Exactly what I ordered for. I love it,People admire it more than I do.,https://www.jumia.com.ng/adidas-adilette-aqua-slides-men-86787370.html,
James Ogu,5,17/07/2024,"Adidas slide ,","Was awesome, fits well n original pls buy above ur size for fitted size , I bought 44 n it fits well while my regular size is 42, so always buy bigger size cuz ur correct size might be smaller",https://www.jumia.com.ng/adidas-adilette-aqua-slides-men-86787370.html,
JOSHUA,5,29/07/2024,superb,Beautiful,https://www.jumia.com.ng/danami-button-designed-long-sleeve-t-shirt-lightsky-blue-76295848.html,
Bartholomew,5,22/07/2024,nice,Good colour,https://www.jumia.com.ng/danami-button-designed-long-sleeve-t-shirt-lightsky-blue-76295848.html,
Ayuba,5,09/07/2024,Nice,Like it,https://www.jumia.com.ng/danami-button-designed-long-sleeve-t-shirt-lightsky-blue-76295848.html,
Bola Adesuyi,5,15/07/2024,Very chic and Classy,It’s everything I expect in a sun shade and more. I also like the fact that it’s unisex. Very cute!,https://www.jumia.com.ng/fashion-unisex-classic-pilot-sunglasses-with-a-case-128004489.html,
Agba,5,08/07/2024,Classic,Topnotch,https://www.jumia.com.ng/fashion-unisex-classic-pilot-sunglasses-with-a-case-128004489.html,
Chinedu,4,05/07/2024,Nice,I like it,https://www.jumia.com.ng/fashion-unisex-classic-pilot-sunglasses-with-a-case-128004489.html,
Hosea,5,06/08/2024,it's nicec,Goes well with socks  tho,https://www.jumia.com.ng/adidas-core-slides-adilette-shower-86787462.html,
Ademola,5,18/07/2024,Very nice,What you see is what you get,https://www.jumia.com.ng/adidas-core-slides-adilette-shower-86787462.html,
Ozzy,5,01/07/2024,Adidas!  superb!,Authentic!,https://www.jumia.com.ng/adidas-core-slides-adilette-shower-86787462.html,
Tijani,3,22/07/2024,Not too bad,"It's nice a product, but the manufacturers can still do more better with the materials quality.",https://www.jumia.com.ng/generic-2in1-fitted-stock-jeans-for-men-black-blue-180549169.html,
Jaiyesimi Olusegun Samuel,4,19/07/2024,Perfect,Perfect,https://www.jumia.com.ng/generic-2in1-fitted-stock-jeans-for-men-black-blue-180549169.html,
Omoniyi,5,17/07/2024,good,Great jean,https://www.jumia.com.ng/generic-2in1-fitted-stock-jeans-for-men-black-blue-180549169.html,
Joshua,5,22/07/2024,Great,"Excellent condition, I love it!",https://www.jumia.com.ng/danami-los-angeles-california-printed-hoodie-nude-229492709.html,
Chinwe,5,22/07/2024,very nice,"Good quality, worth buying",https://www.jumia.com.ng/danami-los-angeles-california-printed-hoodie-nude-229492709.html,
Chidera,3,18/07/2024,It's OK,"It's OK and not bad 
Quality is OK too",https://www.jumia.com.ng/danami-los-angeles-california-printed-hoodie-nude-229492709.html,
Oluwatobi,4,12/07/2024,Nice,Good materials for the price.,https://www.jumia.com.ng/danami-2-in-one-sweat-shorts-black-light-grey-237666662.html,
Oreofe,5,08/07/2024,Comfortable,Worth the price.,https://www.jumia.com.ng/danami-2-in-one-sweat-shorts-black-light-grey-237666662.html,
Joshua,5,05/07/2024,Beatiful,I love it ????,https://www.jumia.com.ng/danami-2-in-one-sweat-shorts-black-light-grey-237666662.html,
Wilson Chukwuebuka James,5,02/08/2024,Great,The quality is great and the sizes are perfect,https://www.jumia.com.ng/osc-signature-mens-quality-100-cotton-smart-2-in-1-plain-tshirt-bundle-350697059.html,
Ehimamaigho,3,01/08/2024,Nice one,It cool and nice,https://www.jumia.com.ng/osc-signature-mens-quality-100-cotton-smart-2-in-1-plain-tshirt-bundle-350697059.html,
Bliz,4,29/07/2024,i like it,Is very ok for the price,https://www.jumia.com.ng/osc-signature-mens-quality-100-cotton-smart-2-in-1-plain-tshirt-bundle-350697059.html,
Samuel,3,31/07/2024,It was smaller than shown,It was smaller than shown,https://www.jumia.com.ng/fashion-3-in-1-non-padded-bratop-sports-bra-for-ladies-263775191.html,
Ifeoma,4,22/07/2024,its nice,Exactly as seen,https://www.jumia.com.ng/fashion-3-in-1-non-padded-bratop-sports-bra-for-ladies-263775191.html,
Baba,5,18/07/2024,Quality,So good. Lovely,https://www.jumia.com.ng/fashion-3-in-1-non-padded-bratop-sports-bra-for-ladies-263775191.html,
Odufunke,5,09/08/2024,Love it,Son rocking it ????,https://www.jumia.com.ng/fashion-5-set-plain-mens-socks-with-gift-box-260199841.html,
Ola,2,08/08/2024,Too small,Good quality but looks like kids socks,https://www.jumia.com.ng/fashion-5-set-plain-mens-socks-with-gift-box-260199841.html,
ISAAC,4,12/07/2024,I like it.,Nice product.,https://www.jumia.com.ng/fashion-5-set-plain-mens-socks-with-gift-box-260199841.html,
Lady B - Brendo,4,08/08/2024,A Good Buy ????♥️,"My husband and my Pst. love it. It's worth the purchase. It's also lovely but, I just hope it will last.",https://www.jumia.com.ng/fashion-2024-mens-fashion-british-business-leather-shoes-black-93508959.html,
Eniola,5,05/08/2024,Love it,Light and smart,https://www.jumia.com.ng/fashion-2024-mens-fashion-british-business-leather-shoes-black-93508959.html,
Kingsley Emenalom,4,05/08/2024,Great,I still rock this shoe till today...,https://www.jumia.com.ng/fashion-2024-mens-fashion-british-business-leather-shoes-black-93508959.html,
JOE,5,30/07/2024,Like it,Good material,https://www.jumia.com.ng/fashion-mens-trousers-casual-trendy-combat-chinos-sport-pants-jogger-gray-76535265.html,
Toluwa,5,30/07/2024,nice joggers,Very fitted,https://www.jumia.com.ng/fashion-mens-trousers-casual-trendy-combat-chinos-sport-pants-jogger-gray-76535265.html,
Mannie,5,24/07/2024,It’s lovely,It fits me perfectly,https://www.jumia.com.ng/fashion-mens-trousers-casual-trendy-combat-chinos-sport-pants-jogger-gray-76535265.html,
Golden,3,08/08/2024,Amazing,Good,https://www.jumia.com.ng/fashion-mens-casual-windbreak-lightweight-blazer-jacket-coats-dark-gray-70359987.html,
Rodney,5,23/07/2024,Good Quality,It's a very nice Jacket,https://www.jumia.com.ng/fashion-mens-casual-windbreak-lightweight-blazer-jacket-coats-dark-gray-70359987.html,
Jude,3,18/07/2024,not bad but....,Fine stuff but bad finishing,https://www.jumia.com.ng/fashion-mens-casual-windbreak-lightweight-blazer-jacket-coats-dark-gray-70359987.html,
Emmanuel,5,30/07/2024,Very stylish,Very stylish but the print on design isn’t long lasting. Also requires good care. But I’m loving it!,https://www.jumia.com.ng/fashion-print-design-face-cap-pink-216700787.html,
TIMMY,4,26/07/2024,It's fair in quality vs price,Average in quality,https://www.jumia.com.ng/fashion-print-design-face-cap-pink-216700787.html,
tijani,5,25/07/2024,good,So nice ????,https://www.jumia.com.ng/fashion-print-design-face-cap-pink-216700787.html,
David,5,08/08/2024,Classic Adidas,You can't go wrong,https://www.jumia.com.ng/adidas-advantage-shoes-men-194412005.html,
Goodluck Apollus,5,01/08/2024,Super nice,Super nice smooth I love it,https://www.jumia.com.ng/adidas-advantage-shoes-men-194412005.html,
Akinola Oyewumi,4,24/07/2024,Comfort,Very Comfortable,https://www.jumia.com.ng/adidas-advantage-shoes-men-194412005.html,
Dorothy,5,09/08/2024,Lovely,My son loves it,https://www.jumia.com.ng/fashion-mens-casual-high-top-shoes-running-sneakers-beige-67524091.html,
Ojerinde,5,06/08/2024,fantastic,Very good,https://www.jumia.com.ng/fashion-mens-casual-high-top-shoes-running-sneakers-beige-67524091.html,
Taiye,5,02/08/2024,I love it,Quality product,https://www.jumia.com.ng/fashion-mens-casual-high-top-shoes-running-sneakers-beige-67524091.html,
N2D'A,3,05/08/2024,Decent,Mixed feelings but it's decent.,https://www.jumia.com.ng/adidas-core-sneakers-advantage-base-84258896.html,
Bella,5,05/07/2024,I love it,I love it,https://www.jumia.com.ng/adidas-core-sneakers-advantage-base-84258896.html,
Mark,5,21/06/2024,Great Buy,Shoe is perfect and lovely,https://www.jumia.com.ng/adidas-core-sneakers-advantage-base-84258896.html,
Ambrose,5,08/08/2024,Nice,I love it,https://www.jumia.com.ng/fngeen-05-calendar-sporty-waterproof-quartz-watchgold-like-81267409.html,
Julianah,3,06/08/2024,its really amazing,I love it,https://www.jumia.com.ng/fngeen-05-calendar-sporty-waterproof-quartz-watchgold-like-81267409.html,
Ojerinde,5,06/08/2024,waterproof quality,Looking good working perfect ???? ????,https://www.jumia.com.ng/fngeen-05-calendar-sporty-waterproof-quartz-watchgold-like-81267409.html,
Daniel,5,08/08/2024,good,Nice ????,https://www.jumia.com.ng/eilifinte-b06-casual-crossbody-shoulder-chest-bag-grey-103761578.html,
Funmilola,5,05/08/2024,Good,Love it,https://www.jumia.com.ng/eilifinte-b06-casual-crossbody-shoulder-chest-bag-grey-103761578.html,
Samson,1,05/08/2024,bad zip,Bad zip,https://www.jumia.com.ng/eilifinte-b06-casual-crossbody-shoulder-chest-bag-grey-103761578.html,
Babajide,4,05/08/2024,best,Best,https://www.jumia.com.ng/fashion-six-pieces-in-1-quality-ankle-socks-40223327.html,
Mirabeth,5,01/08/2024,Worth every penny spent.,"I absolutely love the feel on my feet. The white and black feels extra comfy, the grey however, is a little mehn, different cotton and design but still good.

You've got no worries, I think I might re-order!????",https://www.jumia.com.ng/fashion-six-pieces-in-1-quality-ankle-socks-40223327.html,
Ayonitemi,4,29/07/2024,I like it,decent quality,https://www.jumia.com.ng/fashion-six-pieces-in-1-quality-ankle-socks-40223327.html,
Joshua Dasabah,4,09/08/2024,Increase in size,Make it a bit bigger,https://www.jumia.com.ng/gatwiga-casual-shoulder-sports-sling-crossbody-bag-free-size-72121400.html,
Joy,3,29/07/2024,the zippers aren't strong,It could be better,https://www.jumia.com.ng/gatwiga-casual-shoulder-sports-sling-crossbody-bag-free-size-72121400.html,
